,open,high,low,close,candlestick_pattern,candlestick_match_count
167,40627.87000000,40640.26000000,40502.00000000,40540.64000000,NO_PATTERN,0.0
168,40540.64000000,40613.04000000,40537.36000000,40574.58000000,NO_PATTERN,0.0
169,40574.59000000,40574.60000000,40500.00000000,40500.00000000,CDLCLOSINGMARUBOZU_Bear,5.0
170,40500.00000000,40594.19000000,40499.96000000,40541.06000000,NO_PATTERN,0.0
171,40541.07000000,40668.98000000,40541.07000000,40615.24000000,CDLBELTHOLD_Bull,2.0
172,40616.46000000,40628.54000000,40483.02000000,40539.65000000,CDLENGULFING_Bear,1.0
173,40544.20000000,40544.20000000,40446.33000000,40514.81000000,CDL3OUTSIDE_Bear,1.0
174,40516.84000000,40571.50000000,40454.12000000,40569.28000000,CDLCLOSINGMARUBOZU_Bull,1.0
175,40569.27000000,40775.35000000,40569.01000000,40775.35000000,CDLBELTHOLD_Bull,3.0
176,40775.35000000,40867.30000000,40712.82000000,40813.86000000,CDLADVANCEBLOCK_Bear,2.0
177,40813.86000000,40813.86000000,40716.84000000,40780.03000000,NO_PATTERN,0.0
178,40780.03000000,40782.07000000,40682.72000000,40719.35000000,CDLHIKKAKE_Bull,1.0
179,40721.38000000,40768.95000000,40703.69000000,40749.29000000,NO_PATTERN,0.0
180,40749.30000000,40751.51000000,40665.84000000,40699.56000000,CDLHIKKAKE_Bull,2.0
181,40699.56000000,40709.99000000,40633.70000000,40664.00000000,CDL3OUTSIDE_Bear,1.0
182,40664.00000000,40839.85000000,40664.00000000,40747.10000000,CDLBELTHOLD_Bull,1.0
183,40749.30000000,40795.62000000,40706.57000000,40780.63000000,CDLHIKKAKE_Bull,1.0
184,40780.64000000,40795.00000000,40730.14000000,40758.22000000,NO_PATTERN,0.0
185,40758.22000000,40800.00000000,40745.72000000,40787.99000000,CDLHIKKAKEMOD_Bear,2.0
186,40788.00000000,40839.63000000,40775.64000000,40833.08000000,CDLCLOSINGMARUBOZU_Bull,1.0
187,40833.09000000,40972.69000000,40826.42000000,40892.14000000,CDLBELTHOLD_Bull,1.0
188,40892.50000000,40984.77000000,40875.91000000,40948.37000000,NO_PATTERN,0.0
189,40948.37000000,41230.67000000,40948.36000000,41124.29000000,CDLBELTHOLD_Bull,1.0
190,41124.30000000,41577.00000000,41112.73000000,41405.29000000,NO_PATTERN,0.0
191,41404.31000000,41484.82000000,41300.00000000,41470.46000000,NO_PATTERN,0.0
192,41470.46000000,41470.46000000,41360.00000000,41413.07000000,NO_PATTERN,0.0
193,41413.07000000,41450.00000000,41237.01000000,41284.79000000,CDLHIKKAKE_Bull,1.0
194,41274.81000000,41332.77000000,41237.00000000,41270.70000000,CDLRICKSHAWMAN_Bull,6.0
195,41270.71000000,41283.75000000,41183.28000000,41192.17000000,NO_PATTERN,0.0
196,41192.18000000,41295.15000000,41192.18000000,41224.00000000,NO_PATTERN,0.0
197,41223.99000000,41225.86000000,41172.49000000,41177.50000000,NO_PATTERN,0.0
198,41177.50000000,41181.13000000,40951.44000000,40996.01000000,CDLBELTHOLD_Bear,1.0
199,40996.00000000,41080.04000000,40874.31000000,40924.39000000,NO_PATTERN,0.0
200,40924.39000000,40924.39000000,40764.92000000,40859.69000000,CDLHAMMER_Bull,1.0
201,40859.69000000,41025.97000000,40834.93000000,40988.52000000,NO_PATTERN,0.0
202,40988.52000000,41200.00000000,40949.99000000,41102.16000000,NO_PATTERN,0.0
203,41110.26000000,41246.75000000,41110.26000000,41216.89000000,CDLBELTHOLD_Bull,1.0
204,41216.53000000,41232.58000000,41125.55000000,41224.37000000,CDLRICKSHAWMAN_Bull,7.0
205,41228.60000000,41336.27000000,41114.56000000,41154.53000000,CDLENGULFING_Bear,1.0
206,41148.65000000,41317.37000000,41116.91000000,41230.42000000,CDLENGULFING_Bull,1.0
207,41227.08000000,41227.08000000,41117.07000000,41188.25000000,NO_PATTERN,0.0
208,41188.28000000,41218.91000000,41012.00000000,41032.51000000,CDLHIKKAKE_Bull,1.0
209,41029.61000000,41178.35000000,40989.38000000,40995.81000000,CDLINVERTEDHAMMER_Bull,1.0
210,40995.81000000,41005.81000000,40914.75000000,40957.52000000,CDLHAMMER_Bull,1.0
211,40957.53000000,41000.00000000,40878.25000000,40957.12000000,CDLMATCHINGLOW_Bull,6.0
212,40959.16000000,41099.99000000,40928.41000000,41026.10000000,CDLLADDERBOTTOM_Bull,1.0
213,41026.10000000,41095.54000000,41021.13000000,41050.00000000,NO_PATTERN,0.0
214,41050.00000000,41050.00000000,40900.00000000,40922.10000000,CDLBELTHOLD_Bear,2.0
215,40922.11000000,41049.98000000,40922.10000000,41042.91000000,CDLBELTHOLD_Bull,3.0
216,41042.92000000,41042.92000000,41000.00000000,41016.69000000,NO_PATTERN,0.0
217,41016.69000000,41047.94000000,40913.51000000,40913.51000000,CDLCLOSINGMARUBOZU_Bear,1.0
218,40913.51000000,40989.37000000,40812.95000000,40937.91000000,CDLHIGHWAVE_Bull,2.0
219,40937.91000000,40939.13000000,40829.92000000,40897.17000000,NO_PATTERN,0.0
220,40897.17000000,41075.49000000,40888.82000000,40946.39000000,CDLHIKKAKE_Bear,1.0
221,40946.76000000,40946.76000000,40697.00000000,40787.17000000,CDLBELTHOLD_Bear,3.0
222,40787.17000000,40864.19000000,40763.00000000,40842.37000000,NO_PATTERN,0.0
223,40842.37000000,40922.83000000,40839.12000000,40885.78000000,CDLHIKKAKE_Bear,1.0
224,40885.79000000,40967.31000000,40885.78000000,40912.27000000,CDLSHOOTINGSTAR_Bear,1.0
225,40904.18000000,40929.83000000,40868.29000000,40886.97000000,CDLSPINNINGTOP_Bear,1.0
226,40886.96000000,40987.08000000,40886.82000000,40966.04000000,CDLBELTHOLD_Bull,2.0
227,40964.57000000,40966.03000000,40911.20000000,40916.65000000,CDLHARAMI_Bear,1.0
228,40918.42000000,41042.62000000,40916.50000000,41003.06000000,CDLBELTHOLD_Bull,2.0
229,41008.67000000,41049.93000000,40969.23000000,41021.29000000,CDLHIGHWAVE_Bull,2.0
230,41021.30000000,41071.08000000,41009.43000000,41046.17000000,NO_PATTERN,0.0
231,41048.98000000,41092.60000000,41010.53000000,41024.29000000,NO_PATTERN,0.0
232,41024.83000000,41028.47000000,40900.54000000,40912.12000000,CDLBELTHOLD_Bear,1.0
233,40911.39000000,40920.00000000,40815.10000000,40819.99000000,CDLCLOSINGMARUBOZU_Bear,1.0
234,40821.62000000,40911.01000000,40820.30000000,40911.00000000,CDLBELTHOLD_Bull,3.0
235,40910.35000000,41000.00000000,40900.87000000,40970.00000000,CDLHIKKAKE_Bear,1.0
236,40963.37000000,41006.03000000,40937.00000000,40962.83000000,CDLRICKSHAWMAN_Bull,7.0
237,40962.83000000,40989.05000000,40886.20000000,40891.52000000,CDLCLOSINGMARUBOZU_Bear,2.0
238,40891.92000000,40945.96000000,40813.19000000,40813.89000000,CDLCLOSINGMARUBOZU_Bear,2.0
239,40813.20000000,40814.18000000,40616.41000000,40739.99000000,CDLBELTHOLD_Bear,1.0
240,40739.99000000,40753.30000000,40600.16000000,40618.08000000,NO_PATTERN,0.0
241,40618.93000000,40729.80000000,40590.19000000,40617.73000000,CDLMATCHINGLOW_Bull,5.0
242,40611.57000000,40731.35000000,40603.66000000,40649.27000000,CDLENGULFING_Bull,1.0
243,40643.84000000,40708.51000000,40470.07000000,40562.62000000,NO_PATTERN,0.0
244,40557.64000000,40635.66000000,40542.01000000,40574.51000000,NO_PATTERN,0.0
245,40574.52000000,40645.02000000,40532.55000000,40554.48000000,CDLSPINNINGTOP_Bear,2.0
246,40554.48000000,40649.89000000,40545.07000000,40549.01000000,CDLMATCHINGLOW_Bull,5.0
